21:01:04.744 DEBUG [8] 合约:i1709,最新价:578.5,开盘价:578,昨结价:580,昨收价:580.5,最高价:579,最低价:577,涨停价:626,跌停价:534,更新时间:21:00:59,毫秒数:797,平均价:577.84451786083,最新价与平均价距离:0.655482139169862,成交量:19372,交易日:20170327 
21:02:04.743 DEBUG [8] 合约:i1709,最新价:579,开盘价:578,昨结价:580,昨收价:580.5,最高价:579.5,最低价:577,涨停价:626,跌停价:534,更新时间:21:01:59,毫秒数:728,平均价:578.079786398618,最新价与平均价距离:0.920213601382102,成交量:25468,交易日:20170327 
21:03:04.745 DEBUG [8] 合约:i1709,最新价:577,开盘价:578,昨结价:580,昨收价:580.5,最高价:579.5,最低价:577,涨停价:626,跌停价:534,更新时间:21:02:59,毫秒数:807,平均价:578.03172934191,最新价与平均价距离:-1.03172934190991,成交量:32336,交易日:20170327 
21:04:05.244 DEBUG [8] 合约:i1709,最新价:577,开盘价:578,昨结价:580,昨收价:580.5,最高价:579.5,最低价:577,涨停价:626,跌停价:534,更新时间:21:03:59,毫秒数:789,平均价:577.919488415977,最新价与平均价距离:-0.919488415976502,成交量:38156,交易日:20170327 
21:05:04.744 DEBUG [8] 合约:i1709,最新价:575.5,开盘价:578,昨结价:580,昨收价:580.5,最高价:579.5,最低价:575,涨停价:626,跌停价:534,更新时间:21:04:59,毫秒数:812,平均价:577.41014901329,最新价与平均价距离:-1.91014901329038,成交量:49660,交易日:20170327 
21:06:04.746 DEBUG [8] 合约:i1709,最新价:575.5,开盘价:578,昨结价:580,昨收价:580.5,最高价:579.5,最低价:574.5,涨停价:626,跌停价:534,更新时间:21:05:59,毫秒数:793,平均价:577.137886643389,最新价与平均价距离:-1.6378866433887,成交量:56706,交易日:20170327 
21:07:04.746 DEBUG [8] 合约:i1709,最新价:575.5,开盘价:578,昨结价:580,昨收价:580.5,最高价:579.5,最低价:574.5,涨停价:626,跌停价:534,更新时间:21:06:59,毫秒数:807,平均价:576.956112256223,最新价与平均价距离:-1.45611225622326,成交量:63070,交易日:20170327 
21:08:05.246 DEBUG [8] 合约:i1709,最新价:575.5,开盘价:578,昨结价:580,昨收价:580.5,最高价:579.5,最低价:574.5,涨停价:626,跌停价:534,更新时间:21:07:59,毫秒数:818,平均价:576.900506817908,最新价与平均价距离:-1.40050681790763,成交量:66296,交易日:20170327 
21:09:04.747 DEBUG [8] 合约:i1709,最新价:576.5,开盘价:578,昨结价:580,昨收价:580.5,最高价:579.5,最低价:574.5,涨停价:626,跌停价:534,更新时间:21:08:59,毫秒数:752,平均价:576.824516111592,最新价与平均价距离:-0.32451611159172,成交量:73984,交易日:20170327 
21:10:04.757 DEBUG [8] 合约:i1709,最新价:577.5,开盘价:578,昨结价:580,昨收价:580.5,最高价:579.5,最低价:574.5,涨停价:626,跌停价:534,更新时间:21:09:59,毫秒数:799,平均价:576.92589935057,最新价与平均价距离:0.574100649429624,成交量:82226,交易日:20170327 
21:11:05.247 DEBUG [8] 合约:i1709,最新价:577.5,开盘价:578,昨结价:580,昨收价:580.5,最高价:579.5,最低价:574.5,涨停价:626,跌停价:534,更新时间:21:10:58,毫秒数:772,平均价:576.965530884886,最新价与平均价距离:0.534469115114234,成交量:85932,交易日:20170327 
