09:00:01.745 DEBUG [7] 合约:i1709,最新价:548,开盘价:550,昨结价:557.5,昨收价:549.5,最高价:555,最低价:544,涨停价:602,跌停价:513,更新时间:23:29:59,毫秒数:721,平均价:549.370698347796,最新价与平均价距离:-1.3706983477955,成交量:432392,交易日:20170328 
09:01:00.910 DEBUG [7] 合约:i1709,最新价:555.5,开盘价:550,昨结价:557.5,昨收价:549.5,最高价:555.5,最低价:544,涨停价:602,跌停价:513,更新时间:09:00:59,毫秒数:575,平均价:549.715633864055,最新价与平均价距离:5.78436613594488,成交量:482990,交易日:20170328 
09:02:00.909 DEBUG [7] 合约:i1709,最新价:554.5,开盘价:550,昨结价:557.5,昨收价:549.5,最高价:556,最低价:544,涨停价:602,跌停价:513,更新时间:09:01:59,毫秒数:539,平均价:549.931619060479,最新价与平均价距离:4.56838093952058,成交量:503576,交易日:20170328 
09:03:00.906 DEBUG [7] 合约:i1709,最新价:554.5,开盘价:550,昨结价:557.5,昨收价:549.5,最高价:556,最低价:544,涨停价:602,跌停价:513,更新时间:09:02:59,毫秒数:572,平均价:549.995733701606,最新价与平均价距离:4.50426629839444,成交量:511216,交易日:20170328 
09:04:00.912 DEBUG [7] 合约:i1709,最新价:553,开盘价:550,昨结价:557.5,昨收价:549.5,最高价:556,最低价:544,涨停价:602,跌停价:513,更新时间:09:03:59,毫秒数:577,平均价:550.034742916333,最新价与平均价距离:2.96525708366676,成交量:517458,交易日:20170328 
09:05:00.908 DEBUG [7] 合约:i1709,最新价:553.5,开盘价:550,昨结价:557.5,昨收价:549.5,最高价:556,最低价:544,涨停价:602,跌停价:513,更新时间:09:04:59,毫秒数:546,平均价:550.079205291434,最新价与平均价距离:3.42079470856606,成交量:523412,交易日:20170328 
09:06:00.914 DEBUG [7] 合约:i1709,最新价:553,开盘价:550,昨结价:557.5,昨收价:549.5,最高价:556,最低价:544,涨停价:602,跌停价:513,更新时间:09:05:58,毫秒数:445,平均价:550.090485440591,最新价与平均价距离:2.90951455940888,成交量:525090,交易日:20170328 
09:07:00.913 DEBUG [7] 合约:i1709,最新价:554.5,开盘价:550,昨结价:557.5,昨收价:549.5,最高价:556,最低价:544,涨停价:602,跌停价:513,更新时间:09:06:59,毫秒数:524,平均价:550.109863669776,最新价与平均价距离:4.39013633022375,成交量:527836,交易日:20170328 
09:08:00.911 DEBUG [7] 合约:i1709,最新价:553,开盘价:550,昨结价:557.5,昨收价:549.5,最高价:556,最低价:544,涨停价:602,跌停价:513,更新时间:09:07:59,毫秒数:554,平均价:550.143169002981,最新价与平均价距离:2.85683099701919,成交量:532748,交易日:20170328 
09:09:00.918 DEBUG [7] 合约:i1709,最新价:552.5,开盘价:550,昨结价:557.5,昨收价:549.5,最高价:556,最低价:544,涨停价:602,跌停价:513,更新时间:09:08:59,毫秒数:545,平均价:550.15881942449,最新价与平均价距离:2.34118057550995,成交量:535942,交易日:20170328 
09:10:01.525 DEBUG [7] 合约:i1709,最新价:552,开盘价:550,昨结价:557.5,昨收价:549.5,最高价:556,最低价:544,涨停价:602,跌停价:513,更新时间:09:09:59,毫秒数:543,平均价:550.166973504121,最新价与平均价距离:1.83302649587904,成交量:537744,交易日:20170328 
09:11:00.918 DEBUG [7] 合约:i1709,最新价:553,开盘价:550,昨结价:557.5,昨收价:549.5,最高价:556,最低价:544,涨停价:602,跌停价:513,更新时间:09:10:59,毫秒数:83,平均价:550.173336523588,最新价与平均价距离:2.82666347641248,成交量:539142,交易日:20170328 
09:12:00.921 DEBUG [7] 合约:i1709,最新价:552,开盘价:550,昨结价:557.5,昨收价:549.5,最高价:556,最低价:544,涨停价:602,跌停价:513,更新时间:09:11:59,毫秒数:495,平均价:550.184566793668,最新价与平均价距离:1.81543320633227,成交量:541728,交易日:20170328 
09:13:00.917 DEBUG [7] 合约:i1709,最新价:552.5,开盘价:550,昨结价:557.5,昨收价:549.5,最高价:556,最低价:544,涨停价:602,跌停价:513,更新时间:09:12:59,毫秒数:530,平均价:550.193202531273,最新价与平均价距离:2.30679746872659,成交量:544232,交易日:20170328 
09:14:00.917 DEBUG [7] 合约:i1709,最新价:550.5,开盘价:550,昨结价:557.5,昨收价:549.5,最高价:556,最低价:544,涨停价:602,跌停价:513,更新时间:09:13:59,毫秒数:581,平均价:550.19976464741,最新价与平均价距离:0.300235352590335,成交量:547264,交易日:20170328 
09:15:00.916 DEBUG [7] 合约:i1709,最新价:551,开盘价:550,昨结价:557.5,昨收价:549.5,最高价:556,最低价:544,涨停价:602,跌停价:513,更新时间:09:14:59,毫秒数:560,平均价:550.214504418283,最新价与平均价距离:0.785495581716646,成交量:555872,交易日:20170328 
09:16:01.423 DEBUG [7] 合约:i1709,最新价:552,开盘价:550,昨结价:557.5,昨收价:549.5,最高价:556,最低价:544,涨停价:602,跌停价:513,更新时间:09:15:59,毫秒数:878,平均价:550.226006761122,最新价与平均价距离:1.77399323887755,成交量:560262,交易日:20170328 
09:17:01.921 DEBUG [7] 合约:i1709,最新价:551,开盘价:550,昨结价:557.5,昨收价:549.5,最高价:556,最低价:544,涨停价:602,跌停价:513,更新时间:09:16:59,毫秒数:850,平均价:550.229331956413,最新价与平均价距离:0.770668043586625,成交量:561640,交易日:20170328 
09:18:01.419 DEBUG [7] 合约:i1709,最新价:551,开盘价:550,昨结价:557.5,昨收价:549.5,最高价:556,最低价:544,涨停价:602,跌停价:513,更新时间:09:17:59,毫秒数:956,平均价:550.23161528381,最新价与平均价距离:0.768384716189757,成交量:563158,交易日:20170328 
09:19:02.423 DEBUG [7] 合约:i1709,最新价:552,开盘价:550,昨结价:557.5,昨收价:549.5,最高价:556,最低价:544,涨停价:602,跌停价:513,更新时间:09:18:59,毫秒数:571,平均价:550.234267046762,最新价与平均价距离:1.7657329532376,成交量:564770,交易日:20170328 
09:20:01.423 DEBUG [7] 合约:i1709,最新价:551,开盘价:550,昨结价:557.5,昨收价:549.5,最高价:556,最低价:544,涨停价:602,跌停价:513,更新时间:09:19:59,毫秒数:584,平均价:550.237043901922,最新价与平均价距离:0.762956098077666,成交量:566490,交易日:20170328 
