09:00:02.278 DEBUG [7] 合约:i1709,最新价:512,开盘价:510,昨结价:510.5,昨收价:507.5,最高价:514,最低价:508,涨停价:551,跌停价:470,更新时间:09:00:00,毫秒数:789,平均价:511.592713992349,最新价与平均价距离:0.407286007651066,成交量:582404,交易日:20170417 
09:00:02.471 DEBUG [7] 合约:i1709,最新价:504,开盘价:510,昨结价:510.5,昨收价:507.5,最高价:514,最低价:504,涨停价:551,跌停价:470,更新时间:09:00:00,毫秒数:971,平均价:511.416016803526,最新价与平均价距离:-7.41601680352602,成交量:609872,交易日:20170417 
09:00:03.002 DEBUG [7] 合约:i1709,最新价:506,开盘价:510,昨结价:510.5,昨收价:507.5,最高价:514,最低价:503,涨停价:551,跌停价:470,更新时间:09:00:01,毫秒数:472,平均价:511.332739141839,最新价与平均价距离:-5.33273914183854,成交量:617646,交易日:20170417 
09:00:03.466 DEBUG [7] 合约:i1709,最新价:503,开盘价:510,昨结价:510.5,昨收价:507.5,最高价:514,最低价:503,涨停价:551,跌停价:470,更新时间:09:00:01,毫秒数:971,平均价:511.266052839193,最新价与平均价距离:-8.26605283919258,成交量:623628,交易日:20170417 
09:00:03.955 DEBUG [7] 合约:i1709,最新价:504,开盘价:510,昨结价:510.5,昨收价:507.5,最高价:514,最低价:503,涨停价:551,跌停价:470,更新时间:09:00:02,毫秒数:468,平均价:511.251381268526,最新价与平均价距离:-7.2513812685263,成交量:624788,交易日:20170417 
09:00:04.455 DEBUG [7] 合约:i1709,最新价:504,开盘价:510,昨结价:510.5,昨收价:507.5,最高价:514,最低价:502.5,涨停价:551,跌停价:470,更新时间:09:00:02,毫秒数:960,平均价:511.218179529346,最新价与平均价距离:-7.21817952934578,成交量:627552,交易日:20170417 
09:00:04.969 DEBUG [7] 合约:i1709,最新价:502,开盘价:510,昨结价:510.5,昨收价:507.5,最高价:514,最低价:502,涨停价:551,跌停价:470,更新时间:09:00:03,毫秒数:466,平均价:511.20472973403,最新价与平均价距离:-9.20472973403002,成交量:628492,交易日:20170417 
09:00:05.518 DEBUG [7] 合约:i1709,最新价:502.5,开盘价:510,昨结价:510.5,昨收价:507.5,最高价:514,最低价:502,涨停价:551,跌停价:470,更新时间:09:00:03,毫秒数:970,平均价:511.179059488719,最新价与平均价距离:-8.67905948871879,成交量:630338,交易日:20170417 
09:00:06.009 DEBUG [7] 合约:i1709,最新价:503,开盘价:510,昨结价:510.5,昨收价:507.5,最高价:514,最低价:502,涨停价:551,跌停价:470,更新时间:09:00:04,毫秒数:469,平均价:511.165677258717,最新价与平均价距离:-8.16567725871698,成交量:631354,交易日:20170417 
09:00:06.470 DEBUG [7] 合约:i1709,最新价:503,开盘价:510,昨结价:510.5,昨收价:507.5,最高价:514,最低价:502,涨停价:551,跌停价:470,更新时间:09:00:04,毫秒数:971,平均价:511.148303624771,最新价与平均价距离:-8.14830362477119,成交量:632702,交易日:20170417 
09:00:06.963 DEBUG [7] 合约:i1709,最新价:503,开盘价:510,昨结价:510.5,昨收价:507.5,最高价:514,最低价:502,涨停价:551,跌停价:470,更新时间:09:00:05,毫秒数:464,平均价:511.137628016517,最新价与平均价距离:-8.1376280165174,成交量:633512,交易日:20170417 
09:00:07.461 DEBUG [7] 合约:i1709,最新价:503,开盘价:510,昨结价:510.5,昨收价:507.5,最高价:514,最低价:502,涨停价:551,跌停价:470,更新时间:09:00:05,毫秒数:944,平均价:511.130036271881,最新价与平均价距离:-8.13003627188141,成交量:634100,交易日:20170417 
09:00:07.968 DEBUG [7] 合约:i1709,最新价:503,开盘价:510,昨结价:510.5,昨收价:507.5,最高价:514,最低价:502,涨停价:551,跌停价:470,更新时间:09:00:06,毫秒数:468,平均价:511.119981665596,最新价与平均价距离:-8.11998166559556,成交量:634872,交易日:20170417 
