09:00:01.604 DEBUG [7] 合约:m1705,最新价:2890,开盘价:2891,昨结价:2898,昨收价:2898,最高价:2901,最低价:2884,涨停价:3042,跌停价:2754,更新时间:23:30:00,毫秒数:74,平均价:2891.98654490644,最新价与平均价距离:-1.98654490644367,成交量:362242,交易日:20170310 
09:01:01.518 DEBUG [7] 合约:m1705,最新价:2882,开盘价:2891,昨结价:2898,昨收价:2898,最高价:2901,最低价:2881,涨停价:3042,跌停价:2754,更新时间:09:00:59,毫秒数:892,平均价:2891.42199219086,最新价与平均价距离:-9.42199219086297,成交量:394922,交易日:20170310 
09:02:01.519 DEBUG [7] 合约:m1705,最新价:2884,开盘价:2891,昨结价:2898,昨收价:2898,最高价:2901,最低价:2881,涨停价:3042,跌停价:2754,更新时间:09:01:59,毫秒数:893,平均价:2891.12610252166,最新价与平均价距离:-7.12610252165859,成交量:408382,交易日:20170310 
09:03:01.517 DEBUG [7] 合约:m1705,最新价:2886,开盘价:2891,昨结价:2898,昨收价:2898,最高价:2901,最低价:2881,涨停价:3042,跌停价:2754,更新时间:09:02:59,毫秒数:358,平均价:2891.02663974907,最新价与平均价距离:-5.02663974906909,成交量:415094,交易日:20170310 
09:04:01.921 DEBUG [7] 合约:m1705,最新价:2887,开盘价:2891,昨结价:2898,昨收价:2898,最高价:2901,最低价:2881,涨停价:3042,跌停价:2754,更新时间:09:03:59,毫秒数:857,平均价:2890.9849919881,最新价与平均价距离:-3.98499198809668,成交量:419376,交易日:20170310 
09:05:02.020 DEBUG [7] 合约:m1705,最新价:2887,开盘价:2891,昨结价:2898,昨收价:2898,最高价:2901,最低价:2881,涨停价:3042,跌停价:2754,更新时间:09:04:59,毫秒数:866,平均价:2890.9384756874,最新价与平均价距离:-3.93847568740284,成交量:424060,交易日:20170310 
09:06:01.519 DEBUG [7] 合约:m1705,最新价:2887,开盘价:2891,昨结价:2898,昨收价:2898,最高价:2901,最低价:2881,涨停价:3042,跌停价:2754,更新时间:09:05:59,毫秒数:829,平均价:2890.8974798528,最新价与平均价距离:-3.89747985279701,成交量:429340,交易日:20170310 
09:07:01.519 DEBUG [7] 合约:m1705,最新价:2888,开盘价:2891,昨结价:2898,昨收价:2898,最高价:2901,最低价:2881,涨停价:3042,跌停价:2754,更新时间:09:06:59,毫秒数:285,平均价:2890.87095104992,最新价与平均价距离:-2.87095104992022,成交量:432890,交易日:20170310 
09:08:02.017 DEBUG [7] 合约:m1705,最新价:2888,开盘价:2891,昨结价:2898,昨收价:2898,最高价:2901,最低价:2881,涨停价:3042,跌停价:2754,更新时间:09:07:59,毫秒数:862,平均价:2890.84026361499,最新价与平均价距离:-2.84026361499036,成交量:436394,交易日:20170310 
09:09:02.020 DEBUG [7] 合约:m1705,最新价:2885,开盘价:2891,昨结价:2898,昨收价:2898,最高价:2901,最低价:2881,涨停价:3042,跌停价:2754,更新时间:09:08:59,毫秒数:345,平均价:2890.80097566298,最新价与平均价距离:-5.80097566298264,成交量:439906,交易日:20170310 
09:10:02.019 DEBUG [7] 合约:m1705,最新价:2886,开盘价:2891,昨结价:2898,昨收价:2898,最高价:2901,最低价:2881,涨停价:3042,跌停价:2754,更新时间:09:09:58,毫秒数:773,平均价:2890.77529868227,最新价与平均价距离:-4.77529868227066,成交量:442276,交易日:20170310 
09:11:02.015 DEBUG [7] 合约:m1705,最新价:2886,开盘价:2891,昨结价:2898,昨收价:2898,最高价:2901,最低价:2881,涨停价:3042,跌停价:2754,更新时间:09:10:57,毫秒数:134,平均价:2890.76021438488,最新价与平均价距离:-4.76021438488306,成交量:443688,交易日:20170310 
09:12:02.623 DEBUG [7] 合约:m1705,最新价:2886,开盘价:2891,昨结价:2898,昨收价:2898,最高价:2901,最低价:2881,涨停价:3042,跌停价:2754,更新时间:09:11:59,毫秒数:370,平均价:2890.74351454287,最新价与平均价距离:-4.74351454287444,成交量:445304,交易日:20170310 
09:13:01.518 DEBUG [7] 合约:m1705,最新价:2886,开盘价:2891,昨结价:2898,昨收价:2898,最高价:2901,最低价:2881,涨停价:3042,跌停价:2754,更新时间:09:12:59,毫秒数:892,平均价:2890.72439302227,最新价与平均价距离:-4.72439302226894,成交量:447710,交易日:20170310 
09:14:01.514 DEBUG [7] 合约:m1705,最新价:2886,开盘价:2891,昨结价:2898,昨收价:2898,最高价:2901,最低价:2881,涨停价:3042,跌停价:2754,更新时间:09:13:59,毫秒数:741,平均价:2890.68805269527,最新价与平均价距离:-4.68805269526911,成交量:451198,交易日:20170310 
09:15:01.517 DEBUG [7] 合约:m1705,最新价:2885,开盘价:2891,昨结价:2898,昨收价:2898,最高价:2901,最低价:2881,涨停价:3042,跌停价:2754,更新时间:09:14:59,毫秒数:385,平均价:2890.66513729089,最新价与平均价距离:-5.66513729088729,成交量:453344,交易日:20170310 
09:16:07.514 DEBUG [7] 合约:m1705,最新价:2885,开盘价:2891,昨结价:2898,昨收价:2898,最高价:2901,最低价:2881,涨停价:3042,跌停价:2754,更新时间:09:15:58,毫秒数:308,平均价:2890.64243432897,最新价与平均价距离:-5.6424343289741,成交量:455452,交易日:20170310 
09:17:02.015 DEBUG [7] 合约:m1705,最新价:2886,开盘价:2891,昨结价:2898,昨收价:2898,最高价:2901,最低价:2881,涨停价:3042,跌停价:2754,更新时间:09:16:58,毫秒数:801,平均价:2890.63796386483,最新价与平均价距离:-4.63796386483091,成交量:455844,交易日:20170310 
09:18:02.015 DEBUG [7] 合约:m1705,最新价:2886,开盘价:2891,昨结价:2898,昨收价:2898,最高价:2901,最低价:2881,涨停价:3042,跌停价:2754,更新时间:09:17:59,毫秒数:862,平均价:2890.62340343633,最新价与平均价距离:-4.62340343633014,成交量:457232,交易日:20170310 
09:19:02.628 DEBUG [7] 合约:m1705,最新价:2887,开盘价:2891,昨结价:2898,昨收价:2898,最高价:2901,最低价:2881,涨停价:3042,跌停价:2754,更新时间:09:18:55,毫秒数:884,平均价:2890.61380312799,最新价与平均价距离:-3.61380312798701,成交量:458186,交易日:20170310 
09:20:03.521 DEBUG [7] 合约:m1705,最新价:2887,开盘价:2891,昨结价:2898,昨收价:2898,最高价:2901,最低价:2881,涨停价:3042,跌停价:2754,更新时间:09:19:59,毫秒数:875,平均价:2890.59961815794,最新价与平均价距离:-3.59961815793849,成交量:459876,交易日:20170310 
09:21:03.014 DEBUG [7] 合约:m1705,最新价:2886,开盘价:2891,昨结价:2898,昨收价:2898,最高价:2901,最低价:2881,涨停价:3042,跌停价:2754,更新时间:09:20:59,毫秒数:348,平均价:2890.59616161704,最新价与平均价距离:-4.59616161703934,成交量:460298,交易日:20170310 
09:22:02.013 DEBUG [7] 合约:m1705,最新价:2888,开盘价:2891,昨结价:2898,昨收价:2898,最高价:2901,最低价:2881,涨停价:3042,跌停价:2754,更新时间:09:21:59,毫秒数:239,平均价:2890.58127430918,最新价与平均价距离:-2.58127430917602,成交量:462274,交易日:20170310 
09:23:04.417 DEBUG [7] 合约:m1705,最新价:2888,开盘价:2891,昨结价:2898,昨收价:2898,最高价:2901,最低价:2881,涨停价:3042,跌停价:2754,更新时间:09:22:59,毫秒数:350,平均价:2890.57499794881,最新价与平均价距离:-2.57499794881096,成交量:463146,交易日:20170310 
09:24:01.514 DEBUG [7] 合约:m1705,最新价:2887,开盘价:2891,昨结价:2898,昨收价:2898,最高价:2901,最低价:2881,涨停价:3042,跌停价:2754,更新时间:09:23:58,毫秒数:850,平均价:2890.56789830874,最新价与平均价距离:-3.5678983087364,成交量:464150,交易日:20170310 
09:25:01.629 DEBUG [7] 合约:m1705,最新价:2887,开盘价:2891,昨结价:2898,昨收价:2898,最高价:2901,最低价:2881,涨停价:3042,跌停价:2754,更新时间:09:24:56,毫秒数:785,平均价:2890.56132012577,最新价与平均价距离:-3.561320125767,成交量:464986,交易日:20170310 
09:26:01.517 DEBUG [7] 合约:m1705,最新价:2884,开盘价:2891,昨结价:2898,昨收价:2898,最高价:2901,最低价:2881,涨停价:3042,跌停价:2754,更新时间:09:25:59,毫秒数:889,平均价:2890.50370922409,最新价与平均价距离:-6.50370922408638,成交量:469640,交易日:20170310 
09:27:01.626 DEBUG [7] 合约:m1705,最新价:2881,开盘价:2891,昨结价:2898,昨收价:2898,最高价:2901,最低价:2881,涨停价:3042,跌停价:2754,更新时间:09:26:59,毫秒数:887,平均价:2890.38204343451,最新价与平均价距离:-9.38204343451298,成交量:477040,交易日:20170310 
09:28:01.515 DEBUG [7] 合约:m1705,最新价:2883,开盘价:2891,昨结价:2898,昨收价:2898,最高价:2901,最低价:2881,涨停价:3042,跌停价:2754,更新时间:09:27:59,毫秒数:847,平均价:2890.3134326497,最新价与平均价距离:-7.31343264970201,成交量:481156,交易日:20170310 
09:29:01.519 DEBUG [7] 合约:m1705,最新价:2878,开盘价:2891,昨结价:2898,昨收价:2898,最高价:2901,最低价:2878,涨停价:3042,跌停价:2754,更新时间:09:28:59,毫秒数:877,平均价:2890.03869743581,最新价与平均价距离:-12.0386974358144,成交量:494348,交易日:20170310 
09:30:01.513 DEBUG [7] 合约:m1705,最新价:2875,开盘价:2891,昨结价:2898,昨收价:2898,最高价:2901,最低价:2875,涨停价:3042,跌停价:2754,更新时间:09:29:59,毫秒数:878,平均价:2889.71045030541,最新价与平均价距离:-14.710450305412,成交量:506856,交易日:20170310 
09:31:01.516 DEBUG [7] 合约:m1705,最新价:2876,开盘价:2891,昨结价:2898,昨收价:2898,最高价:2901,最低价:2874,涨停价:3042,跌停价:2754,更新时间:09:30:59,毫秒数:855,平均价:2889.30329270818,最新价与平均价距离:-13.3032927081813,成交量:521516,交易日:20170310 
