10:58:41.292 DEBUG [14] 合约:i1709,最新价:585.5,开盘价:580,昨结价:592,昨收价:577,最高价:590.5,最低价:577,涨停价:639,跌停价:545,更新时间:11:45:59,毫秒数:0,平均价:584.503400686741,最新价与平均价距离:0.996599313259367,成交量:848064,交易日:20170323 
20:31:43.535 DEBUG [14] 合约:i1709,最新价:579,开盘价:574,昨结价:584,昨收价:580.5,最高价:590,最低价:567.5,涨停价:630.5,跌停价:537.5,更新时间:21:18:59,毫秒数:500,平均价:580.412397939992,最新价与平均价距离:-1.41239793999239,成交量:1430286,交易日:20170324 
20:32:44.037 DEBUG [14] 合约:i1709,最新价:579,开盘价:574,昨结价:584,昨收价:580.5,最高价:590,最低价:567.5,涨停价:630.5,跌停价:537.5,更新时间:21:19:59,毫秒数:500,平均价:580.411199125846,最新价与平均价距离:-1.41119912584554,成交量:1431326,交易日:20170324 
20:33:43.538 DEBUG [14] 合约:i1709,最新价:579.5,开盘价:574,昨结价:584,昨收价:580.5,最高价:590,最低价:567.5,涨停价:630.5,跌停价:537.5,更新时间:21:20:58,毫秒数:500,平均价:580.40956205602,最新价与平均价距离:-0.909562056020036,成交量:1433060,交易日:20170324 
20:34:43.541 DEBUG [14] 合约:i1709,最新价:581,开盘价:574,昨结价:584,昨收价:580.5,最高价:590,最低价:567.5,涨停价:630.5,跌停价:537.5,更新时间:21:21:59,毫秒数:500,平均价:580.40744318679,最新价与平均价距离:0.592556813209853,成交量:1439894,交易日:20170324 
20:35:43.525 DEBUG [14] 合约:i1709,最新价:583,开盘价:574,昨结价:584,昨收价:580.5,最高价:590,最低价:567.5,涨停价:630.5,跌停价:537.5,更新时间:21:22:59,毫秒数:500,平均价:580.436834853212,最新价与平均价距离:2.5631651467877,成交量:1460204,交易日:20170324 
20:36:43.547 DEBUG [14] 合约:i1709,最新价:583.5,开盘价:574,昨结价:584,昨收价:580.5,最高价:590,最低价:567.5,涨停价:630.5,跌停价:537.5,更新时间:21:23:59,毫秒数:500,平均价:580.463808149,最新价与平均价距离:3.03619185099956,成交量:1474144,交易日:20170324 
20:37:43.535 DEBUG [14] 合约:i1709,最新价:582,开盘价:574,昨结价:584,昨收价:580.5,最高价:590,最低价:567.5,涨停价:630.5,跌停价:537.5,更新时间:21:24:59,毫秒数:500,平均价:580.470675569829,最新价与平均价距离:1.52932443017107,成交量:1478426,交易日:20170324 
20:38:43.545 DEBUG [14] 合约:i1709,最新价:582.5,开盘价:574,昨结价:584,昨收价:580.5,最高价:590,最低价:567.5,涨停价:630.5,跌停价:537.5,更新时间:21:25:59,毫秒数:500,平均价:580.476238490529,最新价与平均价距离:2.02376150947066,成交量:1482692,交易日:20170324 
20:40:44.490 DEBUG [14] 合约:i1709,最新价:581.5,开盘价:574,昨结价:584,昨收价:580.5,最高价:590,最低价:567.5,涨停价:630.5,跌停价:537.5,更新时间:21:26:59,毫秒数:500,平均价:580.481381659513,最新价与平均价距离:1.01861834048691,成交量:1487834,交易日:20170324 
20:41:11.098 DEBUG [14] 合约:i1709,最新价:582,开盘价:574,昨结价:584,昨收价:580.5,最高价:590,最低价:567.5,涨停价:630.5,跌停价:537.5,更新时间:21:27:59,毫秒数:0,平均价:580.483001857588,最新价与平均价距离:1.51699814241158,成交量:1490104,交易日:20170324 
