09:00:59.704 DEBUG [7] 合约:i1709,最新价:557,开盘价:556,昨结价:556,昨收价:552,最高价:560,最低价:556,涨停价:606,跌停价:506,更新时间:09:00:59,毫秒数:986,平均价:558.333100708611,最新价与平均价距离:-1.33310070861069,成交量:55884,交易日:20170405 
09:01:59.705 DEBUG [7] 合约:i1709,最新价:555,开盘价:556,昨结价:556,昨收价:552,最高价:560,最低价:553,涨停价:606,跌停价:506,更新时间:09:01:59,毫秒数:990,平均价:557.500541138002,最新价与平均价距离:-2.50054113800172,成交量:86854,交易日:20170405 
09:02:59.705 DEBUG [7] 合约:i1709,最新价:552.5,开盘价:556,昨结价:556,昨收价:552,最高价:560,最低价:552.5,涨停价:606,跌停价:506,更新时间:09:02:59,毫秒数:985,平均价:557.038777390145,最新价与平均价距离:-4.53877739014536,成交量:102044,交易日:20170405 
09:03:59.703 DEBUG [7] 合约:i1709,最新价:554,开盘价:556,昨结价:556,昨收价:552,最高价:560,最低价:552.5,涨停价:606,跌停价:506,更新时间:09:03:59,毫秒数:965,平均价:556.682048814627,最新价与平均价距离:-2.68204881462691,成交量:114310,交易日:20170405 
09:04:59.706 DEBUG [7] 合约:i1709,最新价:554.5,开盘价:556,昨结价:556,昨收价:552,最高价:560,最低价:552.5,涨停价:606,跌停价:506,更新时间:09:04:59,毫秒数:979,平均价:556.441341051616,最新价与平均价距离:-1.94134105161606,成交量:124380,交易日:20170405 
09:05:59.209 DEBUG [7] 合约:i1709,最新价:555,开盘价:556,昨结价:556,昨收价:552,最高价:560,最低价:552.5,涨停价:606,跌停价:506,更新时间:09:05:59,毫秒数:503,平均价:556.275077171223,最新价与平均价距离:-1.27507717122285,成交量:143836,交易日:20170405 
09:06:59.207 DEBUG [7] 合约:i1709,最新价:558,开盘价:556,昨结价:556,昨收价:552,最高价:560,最低价:552.5,涨停价:606,跌停价:506,更新时间:09:06:59,毫秒数:511,平均价:556.298698678503,最新价与平均价距离:1.701301321497,成交量:158608,交易日:20170405 
09:07:59.208 DEBUG [7] 合约:i1709,最新价:557.5,开盘价:556,昨结价:556,昨收价:552,最高价:560,最低价:552.5,涨停价:606,跌停价:506,更新时间:09:07:59,毫秒数:479,平均价:556.391931811548,最新价与平均价距离:1.10806818845231,成交量:171290,交易日:20170405 
09:08:59.708 DEBUG [7] 合约:i1709,最新价:558,开盘价:556,昨结价:556,昨收价:552,最高价:560,最低价:552.5,涨停价:606,跌停价:506,更新时间:09:08:59,毫秒数:997,平均价:556.436618294546,最新价与平均价距离:1.56338170545428,成交量:178064,交易日:20170405 
09:09:59.710 DEBUG [7] 合约:i1709,最新价:560.5,开盘价:556,昨结价:556,昨收价:552,最高价:561,最低价:552.5,涨停价:606,跌停价:506,更新时间:09:09:59,毫秒数:980,平均价:556.751624269333,最新价与平均价距离:3.74837573066657,成交量:196396,交易日:20170405 
09:10:59.211 DEBUG [7] 合约:i1709,最新价:561.5,开盘价:556,昨结价:556,昨收价:552,最高价:563,最低价:552.5,涨停价:606,跌停价:506,更新时间:09:10:59,毫秒数:518,平均价:557.317179819122,最新价与平均价距离:4.18282018087837,成交量:220922,交易日:20170405 
